Sample ID,Total Deduplicated Percentage,Filename,File type,Encoding,Total Sequences,Total Bases,Sequences flagged as poor quality,Sequence length,%GC
CBP-1-H3K27ac_S11_L001_R1,97.12196216093757,CBP-1-H3K27ac_S11_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,8037876,606 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L001_R2,97.41163300559684,CBP-1-H3K27ac_S11_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,8037876,605.8 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L001_fastqc.zip,97.92054869561314,CBP-1-H3K27ac_S11_L001.bam,Conventional base calls,Sanger / Illumina 1.9,16075752,1.2 Gbp,0,35-76,51
CBP-1-H3K27ac_S11_L002_R1,97.10960209670388,CBP-1-H3K27ac_S11_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,7862535,592.8 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L002_R2,97.40102888291395,CBP-1-H3K27ac_S11_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,7862535,592.6 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L002_fastqc.zip,97.9329780173395,CBP-1-H3K27ac_S11_L002.bam,Conventional base calls,Sanger / Illumina 1.9,15725070,1.1 Gbp,0,35-76,51
CBP-1-H3K27ac_S11_L003_R1,97.18781839242945,CBP-1-H3K27ac_S11_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,8083218,609.5 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L003_R2,97.44931166071507,CBP-1-H3K27ac_S11_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,8083218,609.4 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L003_fastqc.zip,97.96864049074802,CBP-1-H3K27ac_S11_L003.bam,Conventional base calls,Sanger / Illumina 1.9,16166436,1.2 Gbp,0,35-76,51
CBP-1-H3K27ac_S11_L004_R1,97.16856308115464,CBP-1-H3K27ac_S11_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,7989349,602.4 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L004_R2,97.44479540018325,CBP-1-H3K27ac_S11_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,7989349,602.3 Mbp,0,35-76,51
CBP-1-H3K27ac_S11_L004_fastqc.zip,97.99917032335918,CBP-1-H3K27ac_S11_L004.bam,Conventional base calls,Sanger / Illumina 1.9,15978698,1.2 Gbp,0,35-76,51
CBP-1-STAT5_S3_L001_R1,96.7105252839576,CBP-1-STAT5_S3_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5521365,416.3 Mbp,0,35-76,39
CBP-1-STAT5_S3_L001_R2,96.845571461471,CBP-1-STAT5_S3_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5521365,416.2 Mbp,0,35-76,39
CBP-1-STAT5_S3_L002_R1,96.74918388777485,CBP-1-STAT5_S3_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5373987,405.2 Mbp,0,35-76,39
CBP-1-STAT5_S3_L002_R2,96.81690932566896,CBP-1-STAT5_S3_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5373987,405.1 Mbp,0,35-76,40
CBP-1-STAT5_S3_L003_R1,96.68105843482434,CBP-1-STAT5_S3_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5516845,416 Mbp,0,35-76,39
CBP-1-STAT5_S3_L003_R2,96.87666911031894,CBP-1-STAT5_S3_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5516845,416 Mbp,0,35-76,39
CBP-1-STAT5_S3_L004_R1,96.77575512844344,CBP-1-STAT5_S3_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5362791,404.4 Mbp,0,35-76,39
CBP-1-STAT5_S3_L004_R2,96.96708798270707,CBP-1-STAT5_S3_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5362791,404.4 Mbp,0,35-76,40
CBP-1-input_S3_L001_R1,96.35311951981816,CBP-1-input_S3_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5819726,438.9 Mbp,0,35-76,41
CBP-1-input_S3_L001_R2,96.52767532858026,CBP-1-input_S3_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5819726,438.7 Mbp,0,35-76,41
CBP-1-input_S3_L001_fastqc.zip,98.22270477082323,CBP-1-input_S3_L001.bam,Conventional base calls,Sanger / Illumina 1.9,11639452,877.7 Mbp,0,35-76,41
CBP-1-input_S3_L002_R1,96.33201605561314,CBP-1-input_S3_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5679204,428.3 Mbp,0,35-76,41
CBP-1-input_S3_L002_R2,96.52458463108343,CBP-1-input_S3_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5679204,428.1 Mbp,0,35-76,41
CBP-1-input_S3_L002_fastqc.zip,98.29761237774083,CBP-1-input_S3_L002.bam,Conventional base calls,Sanger / Illumina 1.9,11358408,856.5 Mbp,0,35-76,41
CBP-1-input_S3_L003_R1,96.30942841833777,CBP-1-input_S3_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5848445,441 Mbp,0,35-76,41
CBP-1-input_S3_L003_R2,96.58091989890994,CBP-1-input_S3_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5848445,441 Mbp,0,35-76,41
CBP-1-input_S3_L003_fastqc.zip,98.2713198155535,CBP-1-input_S3_L003.bam,Conventional base calls,Sanger / Illumina 1.9,11696890,882.1 Mbp,0,35-76,41
CBP-1-input_S3_L004_R1,96.41967730741999,CBP-1-input_S3_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5782584,436.1 Mbp,0,35-76,41
CBP-1-input_S3_L004_R2,96.63459832869262,CBP-1-input_S3_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,5782584,436 Mbp,0,35-76,41
CBP-1-input_S3_L004_fastqc.zip,98.26795958178141,CBP-1-input_S3_L004.bam,Conventional base calls,Sanger / Illumina 1.9,11565168,872.1 Mbp,0,35-76,41
